term	sentiment	???
awarding	1.9	0.7
awards	2.0	0.44721
awesome	3.1	0.83066
awful	-2.0	2.04939
awkward	-0.6	1.56205
awkwardly	-1.3	0.45826
awkwardness	-0.7	1.41774
axe	-0.4	0.8
axed	-1.3	0.78102
backed	0.1	0.3
backing	0.1	0.83066
backs	-0.2	0.4
bad	-2.5	0.67082
badass	-0.6	1.85472
badly	-2.1	0.7
bailout	-0.4	1.35647
bamboozle	-1.5	1.0247
bamboozled	-1.5	1.11803
bamboozles	-1.5	1.0247
ban	-2.6	1.0198
banish	-1.9	0.9434
bankrupt	-2.6	1.0198
bankster	-2.1	0.53852
banned	-2.0	1.0
bargain	0.8	1.16619
barrier	-0.5	0.92195
bashful	-0.1	1.13578
bashfully	0.2	0.9798
bashfulness	-0.8	0.9798
bastard	-2.5	0.67082
bastardies	-1.8	0.87178
bastardise	-2.1	0.83066
bastardised	-2.3	0.9
bastardises	-2.3	1.18743
bastardising	-2.6	0.8
bastardization	-2.4	1.28062
bastardizations	-2.1	0.7
bastardize	-2.4	0.66332
bastardized	-2.0	0.7746
bastardizes	-1.8	0.87178
bastardizing	-2.3	0.9
bastardly	-2.7	0.64031
bastards	-3.0	0.63246
bastardy	-2.7	1.1
battle	-1.6	1.28062
battled	-1.2	0.87178
battlefield	-1.6	0.8
battlefields	-0.9	1.22066
battlefront	-1.2	0.87178
battlefronts	-0.8	1.16619
battleground	-1.7	0.78102
battlegrounds	-0.6	1.35647
battlement	-0.4	0.8
battlements	-0.4	0.66332
battler	-0.8	1.4
battlers	-0.2	0.9798
battles	-1.6	0.4899
battleship	-0.1	1.3
battleships	-0.5	0.80623
battlewagon	-0.3	0.64031
battlewagons	-0.5	0.67082
battling	-1.1	1.04403
beaten	-1.8	0.6
beatific	1.8	1.6
beating	-2.0	0.63246
beaut	1.6	1.2
beauteous	2.5	1.0247
beauteously	2.6	0.8
beauteousness	2.7	1.00499
beautician	1.2	0.9798
beauticians	0.4	0.66332
beauties	2.4	0.8
beautification	1.9	0.7
beautifications	2.4	0.8
beautified	2.1	0.7
beautifier	1.7	0.64031
beautifiers	1.7	0.78102
beautifies	1.8	0.74833
beautiful	2.9	0.7
beautifuler	2.1	0.83066
beautifulest	2.6	0.8
beautifully	2.7	0.64031
beautifulness	2.6	0.8
beautify	2.3	0.45826
beautifying	2.3	0.78102
beauts	1.7	0.78102
beauty	2.8	0.74833
belittle	-1.9	0.53852
belittled	-2.0	1.0
beloved	2.3	0.45826
benefic	1.4	0.4899
benefice	0.4	0.66332
beneficed	1.1	0.7
beneficence	2.8	0.87178
beneficences	1.5	0.67082
beneficent	2.3	0.45826
beneficently	2.2	0.6
benefices	1.1	0.83066
beneficial	1.9	0.53852
beneficially	2.4	0.8
beneficialness	1.7	0.64031
beneficiaries	1.8	1.16619
beneficiary	2.1	0.83066
beneficiate	1.0	1.18322
beneficiation	0.4	1.0198
benefit	2.0	0.63246
benefits	1.6	0.4899
benefitted	1.7	0.64031
benefitting	1.9	0.7
benevolence	1.7	1.1
benevolences	1.9	1.64012
benevolent	2.7	0.78102
